error-states-error-state-a-91c16-gs-POST-400-→-toast-form-保留 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
error-states-error-state-a-b63b9-ine-→-toast-或保持-loading-不卡死 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
error-states-error-state-a-e8125-t-routings-POST-500-→-toast | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
error-states-error-state-a-fe5c3-T-409-CONFLICT-→-toast-表单保留 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
file-template-channel-crud-169ed-新增模板对话框可打开-验证-i18n-field-字段 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').filter({ hasText: '新增文件模板' }).getByText('模板编码', { exact: true })|
file-template-channel-crud-729dd-channel-CRUD-文件渠道页面-新增渠道对话框 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').filter({ hasText: '新增文件渠道' }).getByText('渠道编码', { exact: true })|
file-template-validation-f-31090-ate-表单校验-templateCode-超长被截断 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
file-template-validation-f-52c8b-表单校验-timeoutSeconds-数字框拒收字母 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
file-template-validation-file-channel-表单校验-channelCode-超长被截断 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
file-template-validation-file-channel-表单校验-全空提交被拦截 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
file-template-validation-file-template-表单校验-version-数字框拒收字母 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
file-template-validation-file-template-表单校验-全空提交被拦截 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
governance-quota-panel-配额策略-配额策略可打开 | Error: expect(locator).toHaveText(expected) failed|Locator: locator('.page-header .title').first()|
job-definition-crud-Job-De-4eafe--新增-→-表格出现-→-编辑-→-切换启停-→-克隆 | Error: expect(locator).toBeVisible() failed|Locator: getByRole('cell', { name: 'e2e-job-1779027567583' })|
job-ops-Workflow-定义-—-筛选查询-Workflow-Code-搜索 | Error: page.goto: net::ERR_ABORTED at http://localhost:5173/workflow/definitions|
keyboard-flow-keyboard-flo-9148f-页-Tab-顺序合理-用户名-→-密码-→-登录按钮- | NETWORK-ONLY: [401] GET http://localhost:5173/api/console/auth/me
keyboard-flow-keyboard-flo-957f5-打开后-Tab-焦点应在-Dialog-内部-不溢出- | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
keyboard-flow-keyboard-flow-—-P0-页面-Dialog-打开-→-ESC-关闭 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
mobile-ops-mobile-ops-·-MApprovals-列表加载-渲染至少-1-张卡片 | Error: expect(locator).toBeVisible() failed|Locator: locator('.m-card').first()|
mobile-ops-mobile-ops-·-MApprovals-空数据时显示-m-empty | Error: expect(locator).toBeVisible() failed|Locator: locator('.m-empty')|
mobile-ops-mobile-ops-·-MOutbox-列表加载-segmented-筛选 | Error: expect(locator).toBeVisible() failed|Locator: locator('.m-card').first()|
monitor-ops-Job-Step-分片-—-操作流-取消分片-→-确认-→-toast | Error: page.evaluate: Execution context was destroyed, most likely because of a navigation|
navigation-navigation-and-tabs-侧边栏导航可切换到关键页面 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
notification-crud-webhook--cc663-ok-增删改-新增-Webhook-对话框可打开并填写 | TimeoutError: locator.fill: Timeout 10000ms exceeded.|
notification-rule-crud-not-f9ee3-rule-CRUD-新增订阅规则对话框可打开-字段可见 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
observability-observability-pages-告警页可打开并展示治理操作列 | Error: expect(locator).toHaveText(expected) failed|Locator: locator('.page-header .title').first()|
ops-diagnostic-ops-diagnos-44c19-标签页展示-Kafka-Lag-与-Outbox-面板 | Error: expect(locator).toHaveClass(expected) failed|Locator: getByRole('tab', { name: '运维工具箱' })|
ops-diagnostic-ops-diagnostic-运维诊断-运维诊断页面可打开并展示-2-个标签页 | Error: expect(locator).toBeVisible() failed|Locator: getByRole('tab', { name: '运维工具箱' })|
ops-diagnostic-ops-diagnostic-运维诊断-集群诊断标签页展示多个诊断区块 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
ops-diagnostic-ops-运维诊断-—--ad49b-重发布-Outbox-重发布-→-确认-→-toast | TimeoutError: locator.click: Timeout 10000ms exceeded.|
ops-diagnostic-ops-运维诊断-—--e424d--重发布-Outbox-清理-→-确认-→-toast | TimeoutError: locator.click: Timeout 10000ms exceeded.|
queue-config-crud-batch-window-CRUD-批次窗口-新建批次窗口对话框可打开 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').filter({ hasText: '新增批次窗口' }).getByText('窗口编码', { exact: true })|
queue-config-crud-business-calendar-CRUD-业务日历-新建业务日历对话框可打开 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').filter({ hasText: '新增业务日历' }).getByText('日历编码', { exact: true })|
queue-config-crud-queue-config-CRUD-资源队列-新建队列对话框可打开-必填字段校验 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').filter({ hasText: '新增资源队列' }).getByText('队列编码', { exact: true })|
queue-config-validation-calendar-表单校验-calendarCode-超长被截断 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
queue-config-validation-calendar-表单校验-catchUpMaxDays-数字框拒收字母 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
